site_code,Taxon,NewTaxon,Notes,Omit
ukul.za,ALBUCA,ALBUCA SETOSA,,No
ukul.za,LEDEBOURIA SP.,LEDEBOURIA COOPERI,,No
ukul.za,HYPERICUM AETHIOPICUM SSP. SONDERI,HYPERICUM SP.,,No
ukul.za,LEONOTIS OCYMIFOLIA var. RAINERIANA,LEONOTIS LEONURUS,,No
ukul.za,SOLANUM SP.,SOLANUM MAURITIANUM,,No
ukul.za,UNKNOWN FABACEAE SP.,EXCLUDE,,No
ukul.za,UNKNOWN GRASS,EXCLUDE,,No
unc.us,ERIGERON SP.,ERIGERON ANNUUS,,No
unc.us,SOLIDAGO SP.,SOLIDAGO PINETORUM,,No
unc.us,UNKNOWN ASTERACEAE,VERBESINA OCCIDENTALIS,,No
unc.us,PANICUM DICHOTOMUM,PANICUM SP.,,No
unc.us,PANICUM LINEARIFOLIUM,PANICUM SP.,,No
unc.us,SMILAX BONA-NOX,SMILAX ROTUNDIFOLIA,,No
unc.us,UNKNOWN GRASS,EXCLUDE,,No
valm.ch,,,no changes,Yes
veluwe.nl,VERONICA SP.,VERONICA OFFICINALIS,,No
yarra.au,VICIA SATIVA,VICIA SP.,,No
yarra.au,DICHELACHNE SP.,DICHELACHNE SQUAMULOSUM,,No
yarra.au,PASPALUM DILATATUM,PASPALUM SP.,,No
yarra.au,PASPALUM NOTATUM,PASPALUM SP.,,No
yarra.au,UNKNOWN GRASS ,SPOROBOLUS SP.,,No
